year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1980,52,924309,1250918,14956873,14957973,170047,13.6,168742,13.5,2971294,1503307,1467987,10.1,19.9,2973493,1125939,1847554,7.5,19.9,-2199,0,39.8,118853,119679,668545,0
1980,60,313401,416918,5227080,5151979,47202,11.4,41968,10.1,798740,272856,525884,5.3,15.5,648539,228864,419675,4.4,12.6,150201,2.9,25.2,29188,29302,111218,0
1980,70,1224477,1345942,18526759,18128877,180293,13.6,138750,10.4,3391201,1154576,2236625,6.4,18.7,2595437,917478,1677959,5.1,14.3,795764,4.4,28.6,98465,98876,554609,0
1981,07,40480,41438,285668,281502,7141,17.3,6637,16.1,81876,35673,46203,12.7,29.1,73543,35865,37678,12.7,26.1,8333,3,52.2,4306,4314,21029,0
1981,10,24382,30694,1055417,1003629,6343,21.7,3796,13,258791,88236,170555,8.8,25.8,155215,63706,91509,6.3,15.5,103576,10.3,31,2270,2274,27142,0
1981,15,395706,400847,3982426,4075792,59847,14.5,81141,19.6,1023553,373945,649608,9.2,25.1,1210287,418573,791714,10.3,29.7,-186734,-4.6,50.2,55882,55901,255327,0
1981,20,268491,325395,19982147,20332285,35503,10.9,37610,11.5,2412797,870988,1541809,4.3,11.9,3113074,1036743,2076331,5.1,15.3,-700277,-3.4,23.8,23048,23138,302925,0
1981,40,126641,170247,4731488,4675559,21702,12.7,22240,13,889515,192562,696953,4.1,19,777656,214206,563450,4.6,16.6,111859,2.4,33.2,14070,14156,85031,0
1981,50,295609,388736,5305248,5300007,45207,11.6,44970,11.6,950821,390915,559906,7.4,17.9,940340,384942,555398,7.3,17.7,10481,0.2,35.4,22258,22440,129043,0
1981,52,902107,1218445,14718724,14841216,166431,13.5,197811,16,2845651,1496331,1349320,10.1,19.2,3090635,1417842,1672793,9.6,20.8,-244984,-1.6,38.4,115152,115961,650692,0
1981,60,306781,411934,5382538,5289485,46283,11.2,48391,11.7,884274,353898,530376,6.7,16.7,698167,255964,442203,4.8,13.2,186107,3.5,26.4,29900,29994,106262,0
1981,70,1234928,1353473,18095208,17801861,189180,14.1,166744,12.4,3436596,1416381,2020215,8,19.3,2849901,1209895,1640006,6.8,16,586695,3.3,32,99082,99504,555510,0
1982,07,42052,43170,312507,298466,7798,18.4,5536,13.1,97044,43544,53500,14.6,32.5,68961,25931,43030,8.7,23.1,28083,9.4,46.2,3091,3091,13743,0
1982,10,27274,33923,1114449,1084571,7637,23.6,4052,12.5,285953,102545,183408,9.5,26.4,226197,78971,147226,7.3,20.9,59756,5.5,41.8,2300,2303,29108,0
1982,15,375337,381306,3741208,3835430,57916,14.8,69598,17.8,997322,371489,625833,9.7,26,1185766,349118,836648,9.1,30.9,-188444,-4.9,52,39544,39549,199045,0
1982,20,271758,330226,19102495,19528315,38093,11.6,31618,9.6,2149456,745268,1404188,3.8,11,3001096,732172,2268924,3.7,15.4,-851640,-4.4,22,17827,17884,222471,0
1982,40,130158,176507,4814970,4765781,25843,14.9,18389,10.6,635300,250782,384518,5.3,13.3,536922,157607,379315,3.3,11.3,98378,2,22.6,10748,10773,72428,0
1982,50,305528,406037,5374278,5338747,54343,13.7,36173,9.1,1033098,465573,567525,8.7,19.4,962036,339705,622331,6.4,18,71062,1.4,36,18393,18460,111845,0
1982,52,905598,1268226,15330587,15022879,209938,16.9,154171,12.4,3527790,2048499,1479291,13.6,23.5,2912374,1111455,1800919,7.4,19.4,615416,4.1,38.8,90877,91091,531630,0
1982,60,299226,405234,5422336,5393544,48208,11.8,45183,11.1,830052,325738,504314,6,15.4,772468,243947,528521,4.5,14.3,57584,1.1,28.6,24562,24637,101153,0
1982,70,1282176,1426077,19269308,18684397,230193,16.5,140492,10.1,4084081,1873305,2210776,10,21.9,2914258,1013421,1900837,5.4,15.6,1169823,6.3,31.2,82499,82614,498993,0
1983,07,44334,45501,312373,311706,7540,17,5399,12.2,80598,33626,46972,10.8,25.9,79263,27594,51669,8.9,25.4,1335,0.5,50.8,3371,3373,15809,0
1983,10,26431,32948,896121,999778,4643,13.9,5717,17.1,146162,65357,80805,6.5,14.6,353475,85100,268375,8.5,35.4,-207313,-20.8,29.2,3848,3854,40412,0
1983,15,375369,381225,3572938,3655673,55771,14.6,58297,15.3,921488,276873,644615,7.6,25.2,1086960,309104,777856,8.5,29.7,-165472,-4.5,50.4,37479,37488,192274,0
1983,20,271508,328993,17974642,18530940,30979,9.4,33107,10,1977444,581082,1396362,3.1,10.7,3090041,758472,2331569,4.1,16.7,-1112597,-6,21.4,21433,21510,251336,0
1983,40,131963,176517,4603869,4568141,24376,13.8,20767,11.8,835951,469450,366501,10.3,18.3,764495,227027,537468,5,16.7,71456,1.6,33.4,13438,13510,85974,0
1983,50,308370,407052,5179106,5274536,41432,10.2,41273,10.2,842745,294514,548231,5.6,16,1033605,333634,699971,6.3,19.6,-190860,-3.6,32,23771,23953,129468,0
1983,52,914887,1278766,15184461,15260746,163401,12.8,160019,12.6,2986800,1403130,1583670,9.2,19.6,3139371,1199137,1940234,7.9,20.6,-152571,-1,39.2,102694,103750,596509,0
1983,60,308673,417335,5499822,5463088,47443,11.5,42432,10.3,909217,347253,561964,6.4,16.6,835751,308047,527704,5.6,15.3,73466,1.3,30.6,25104,25198,115133,0
1983,70,1341469,1488478,19493400,19396814,195120,13.4,147329,10.1,3454234,1253644,2200590,6.5,17.8,3261062,986509,2274553,5.1,16.8,193172,1,33.6,97464,97813,535218,0
1984,07,47632,48790,350005,331248,8770,18.6,5481,11.6,102701,39215,63486,11.8,31,65187,24381,40806,7.4,19.7,37514,11.3,39.4,3317,3321,14615,0
1984,10,26102,32835,881295,888573,4816,14.6,4897,14.9,169866,56907,112959,6.4,19.1,184421,62676,121745,7.1,20.8,-14555,-1.7,38.2,3155,3156,25165,0
1984,15,403410,409224,4068533,3825078,77486,19.6,50915,12.9,1319305,400103,919202,10.5,34.5,832395,261009,571386,6.8,21.8,486910,12.7,43.6,32043,32057,169023,0
1984,20,278361,335554,19168497,18588913,36443,11,30054,9,3021597,743282,2278315,4,16.3,1862431,666605,1195826,3.6,10,1159166,6.3,20,18674,18769,185989,0
1984,40,136710,185240,4768821,4684707,27545,15.2,19966,11,789394,309598,479796,6.6,16.9,621166,184854,436312,3.9,13.3,168228,3.6,26.6,12226,12351,79345,0
1984,50,316165,415425,5505873,5352579,47202,11.5,38941,9.5,1048626,364833,683793,6.8,19.6,742038,286235,455803,5.3,13.9,306588,5.7,27.8,21282,21417,115050,0
1984,52,923250,1292985,16083964,15634219,174205,13.6,160671,12.5,3335627,1515535,1820092,9.7,21.3,2436137,1080749,1355388,6.9,15.6,899490,5.7,31.2,99627,100242,533398,0
1984,60,319622,431055,5814264,5650627,54077,12.8,40568,9.6,1070813,423446,647367,7.5,19,743539,246750,496789,4.4,13.2,327274,5.8,26.4,23695,23786,107239,0
1984,70,1419433,1571591,20743996,20104831,232330,15.2,152224,10,4023520,1524965,2498555,7.6,20,2745189,963463,1781726,4.8,13.7,1278331,6.3,27.4,95436,95810,524745,0
1985,07,51428,52666,381546,365171,9907,19.5,5861,11.6,112237,43813,68424,12,30.7,79487,28496,50991,7.8,21.8,32750,8.9,43.6,3867,3867,18466,0
1985,10,26462,33087,861278,871211,4636,14.1,4392,13.3,148786,48592,100194,5.6,17.1,168652,57821,110831,6.6,19.4,-19866,-2.3,34.2,2747,2760,22618,0
1985,15,429885,435709,4438504,4252320,81790,19.3,56607,13.4,1394196,447682,946514,10.5,32.8,1021830,342325,679505,8.1,24,372366,8.8,48,37615,37624,217697,0
1985,20,286081,342986,19207663,19186818,38174,11.3,30839,9.1,2407765,682167,1725598,3.6,12.5,2366075,875444,1490631,4.6,12.3,41690,0.2,24.6,19787,19875,262907,0
1985,40,144786,194835,4915297,4850360,27592,14.4,21196,11.1,756981,249671,507310,5.1,15.6,627107,227757,399350,4.7,12.9,129874,2.7,25.8,13404,13641,103696,0
1985,50,323008,423237,5639461,5571770,48714,11.6,40552,9.7,996872,349060,647812,6.3,17.9,861489,357885,503604,6.4,15.5,135383,2.4,31,23417,23557,146022,0
1985,52,928282,1301624,16769029,16425112,179006,13.8,169607,13.1,3434839,1605002,1829837,9.8,20.9,2747005,1295309,1451696,7.9,16.7,687834,4.2,33.4,106676,107712,628140,0
1985,60,331333,446405,6012507,5892612,58432,13.3,44050,10,1088883,387330,701553,6.6,18.5,849093,316800,532293,5.4,14.4,239790,4.1,28.8,26755,26905,143989,0
1985,70,1488717,1646283,22670014,22141236,225297,14,157570,9.8,4244737,1551144,2693593,7,19.2,3187180,1195083,1992097,5.4,14.4,1057557,4.8,28.8,102812,103241,656828,0
1986,07,54842,56039,411420,395782,10502,19.3,6725,12.4,118753,46958,71795,11.9,30,87476,33833,53643,8.5,22.1,31277,7.9,44.2,4387,4389,20636,0
1986,10,25452,31728,781421,820999,3879,12,5094,15.7,129393,50740,78653,6.2,15.8,208549,65645,142904,8,25.4,-79156,-9.6,31.6,3412,3413,26950,0
1986,15,449039,454673,4670815,4549633,84871,19.1,63390,14.2,1391200,479160,912040,10.5,30.6,1148837,380372,768465,8.4,25.3,242363,5.3,50.6,43303,43315,246040,0
1986,20,287531,344367,18992603,19086400,38672,11.3,36226,10.5,2425030,828883,1596147,4.3,12.7,2612623,934774,1677849,4.9,13.7,-187593,-1,25.4,24494,24592,346085,0
1986,40,148695,200623,5021446,4965611,30344,15.3,23744,12,833757,291865,541892,5.9,16.8,722087,227160,494927,4.6,14.5,111670,2.3,29,15050,15194,107302,0
1986,50,330729,431103,5800547,5716032,51902,12.2,42769,10,1060701,418656,642045,7.3,18.6,891671,335869,555802,5.9,15.6,169030,3,31.2,25329,25402,145773,0
1986,52,939065,1324548,17471155,17106753,194000,14.8,166847,12.7,3714956,1867892,1847064,10.9,21.7,2986151,1258299,1727852,7.4,17.5,728805,4.2,35,109119,109865,694331,0
1986,60,338664,457613,6338192,6164542,59366,13.1,46631,10.3,1219244,446462,772782,7.2,19.8,871944,336621,535323,5.5,14.1,347300,5.7,28.2,28840,28901,148980,0
1986,70,1545330,1709543,23979284,23326417,238176,14.2,167618,10,4591677,1812969,2778708,7.8,19.7,3285943,1160306,2125637,5,14.1,1305734,5.6,28.2,110153,110402,655015,0
1987,07,59010,60231,436444,422964,11554,19.9,6809,11.7,121056,48886,72170,11.6,28.6,94095,36811,57284,8.7,22.2,26961,6.4,44.4,4712,4717,23204,0
1987,10,22754,28499,661439,719429,3438,11.4,6268,20.8,108209,42545,65664,5.9,15,224191,88242,135949,12.3,31.2,-115982,-16.2,30,3954,3988,33196,0
1987,15,472107,478239,4793973,4721981,91227,19.6,62620,13.4,1381832,462338,919494,9.8,29.3,1237849,427078,810771,9,26.2,143983,3.1,52.4,45092,45147,267444,0
1987,20,289364,345800,18569701,18759597,39150,11.3,36009,10.4,2191002,635512,1555490,3.4,11.7,2570794,919162,1651632,4.9,13.7,-379792,-2,23.4,23399,23540,280924,0
1987,40,153002,209213,5107877,5060134,36311,17.7,26512,12.9,1016797,469096,547701,9.3,20.1,921311,362979,558332,7.2,18.2,95486,1.9,36.4,16586,16870,171260,0
1987,50,333858,437462,5812817,5803278,56840,13.1,49347,11.3,1086813,407639,679174,7,18.7,1067736,444826,622910,7.7,18.4,19077,0.3,36.8,27004,27377,168617,0
1987,52,946383,1358926,18131824,17829319,218894,16.3,181509,13.5,4024757,2059770,1964987,11.6,22.6,3419747,1559752,1859995,8.7,19.2,605010,3.4,38.4,113925,115662,751412,0
